ItemId,Name,Category,SubCategory,Price,Rank
7876,Bronze Ingot,2,101,10,1
7873,Copper Ingot,2,101,20,2
7872,Dull Iron Ingot,2,101,50,3
7874,Iron Ingot,2,101,100,4
7881,Drilled Plate Sheet,2,101,170,5
7882,Jewel Steel Ingot,2,101,170,5
7879,Red Chromium,2,101,260,6
7875,Silver Ingot,2,101,370,7
7883,Bornite Ingot,2,101,370,7
7884,Spirit Silver Ingot,2,101,500,8
7888,Red Alloy Ingot,2,101,500,8
7877,Gold Ingot,2,101,650,9
7880,Mithril Ingot,2,101,650,9
7878,Black Iron Ingot,2,101,820,10
7885,Blue Steel Ingot,2,101,820,10
7892,Electrum,2,101,820,10
7886,Magick Gold Ingot,2,101,1010,11
7890,Phantom Metal,2,101,1010,11
7891,Electrum Plate,2,101,1010,11
7887,Dark Metal,2,101,1220,12
9444,Diorite Steel Ingot,2,101,1200,12
11778,Frost Metal,2,101,952,25
15956,Bright Titanium,2,101,100,45
16005,Silvery Snow Steel Ingot,2,101,980,65
17892,Cobalt Alloy Ingot,2,101,3000,85
19654,Unrefined Alloy Lump,2,101,500,95
17894,Bright Purple Steel Ingot,2,101,3000,100
21270,Flicker Gem,2,101,3000,110
24738,Orichalcum,2,101,900,130
24819,Black and Silver Chaos Metal,2,101,900,130
25523,Kunstkette,2,101,350,150
25526,Elegant Harp Steel Ingot,2,101,350,150
7858,Bronze Ore,2,102,7,1
7854,Copper Ore,2,102,15,2
9060,Lead Ore,2,102,20,2
7853,Iron Ore Fragment,2,102,37,3
7855,Iron Ore,2,102,75,4
7865,Monster Gallstone,2,102,80,4
7856,Marble,2,102,127,5
7863,Drilled Ore,2,102,127,5
9061,Pyrite,2,102,127,5
7861,Hematite,2,102,195,6
7864,Rock Scale,2,102,195,6
7857,Silver Ore,2,102,277,7
7866,Golem Magickal Rock,2,102,615,7
7867,Magick Medal,2,102,615,7
7868,Phantom Ore,2,102,277,7
7869,Lava Rock,2,102,375,8
9062,Cerussite,2,102,375,8
7859,Gold Ore,2,102,487,9
7862,Mithril Ore,2,102,487,9
7860,Black Ore,2,102,504,10
7870,High Quality Magick Medal,2,102,757,10
7889,Spiritual Will Fragment,2,102,820,10
7871,Alchemite,2,102,915,12
9440,Cockatrice Gastrolith,2,102,915,12
15953,Ringing Ore,2,102,100,45
15946,White Bone Rock,2,102,200,50
16001,Ashen Flower Rock,2,102,250,65
16004,Adamas Ore,2,102,250,65
17861,Black Blade Fragment,2,102,350,80
17882,Brittle Sandstone,2,102,250,80
18738,Eye Ore,2,102,100,80
17883,Pyroclastic Rock,2,102,1000,85
19652,Silver Eye Ore,2,102,100,90
18142,Blazing Ore,2,102,900,95
21216,Phlogopite,2,102,350,100
21258,Volcanic Tuff,2,102,350,110
24725,Lestania Marble,2,102,350,130
24820,Tinctura,2,102,900,130
7843,Coarse Sand,2,103,5,2
7844,Polishing Sand,2,103,10,3
7845,Silken Sand,2,103,25,3
7847,Hematite Sand,2,103,50,4
7848,Blue Alluvial Gold,2,103,85,6
7849,Magick Silt,2,103,130,6
7846,Forest Chernozem,2,103,185,7
7851,White Shining Sand,2,103,250,8
7852,Sandcrystal,2,103,325,9
7850,Bone Meal,2,103,330,10
9441,Sand of Reminiscence,2,103,350,12
16002,Smooth White Mud,2,103,250,65
17959,Soft Soil,2,103,123,80
18648,Volcanic Sand,2,103,250,80
18649,Volcanic Glass,2,103,1000,85
18141,Warm Mud,2,103,900,95
21217,Highland Akadama,2,103,350,100
21259,Volcanic Mountain Ash,2,103,350,110
21292,Crystal Glass,2,103,100,110
25527,Spirit Resonance Mudsand,2,103,350,140
7934,Common Cloth,2,104,10,1
7944,Burial Shroud,2,104,20,2
7936,Linen,2,104,50,3
7935,Leather Cloth,2,104,100,4
7938,Combat Fabric,2,104,170,5
7946,Bloodstained Red Cloth,2,104,170,5
7937,Hard Leather Cloth,2,104,260,6
7939,Courtly Cloth,2,104,370,7
7945,Orcish Cloth,2,104,370,7
7940,Protective Cloth,2,104,500,8
7941,Dragonleather,2,104,500,8
7942,Blow-Resistant Cloth,2,104,650,9
7947,Sinister Black Cloth,2,104,650,9
7948,Cursed Cloth,2,104,650,9
7943,Sacred Blessed Cloth,2,104,820,10
7950,Mergan Cloth,2,104,1010,11
7949,Witch's Velvet,2,104,1220,12
9445,Safeguarding Satin,2,104,1350,12
15957,Spider Mesh,2,104,100,45
16006,Elemental Lace,2,104,980,65
19293,Cloth of Fighting Spirit,2,104,300,65
19294,Cloth of Ambition,2,104,300,65
17891,Ribbon of Rich Bounty,2,104,3000,85
21777,Fluffly Ghost Cloth,2,104,500,85
17929,Fluttering Rags,2,104,350,95
21229,Padding,2,104,3000,105
21269,Soul Siphoning Cloth,2,104,3000,110
7960,Spider Thread,2,105,7,1
7951,Filament,2,105,15,2
7952,Rough Thread,2,105,37,3
7953,Leather Cord,2,105,75,4
7954,Spun Yarn,2,105,127,5
7955,Iron Thread,2,105,195,6
7957,Demon Thread,2,105,277,7
7956,Strong Thread,2,105,277,8
7958,Drómi,2,105,487,9
7959,Gleipnir,2,105,615,10
7743,Gold Thread,2,105,757,11
9446,Wind Twine,2,105,790,12
25023,Fluffy Yarn,2,105,10,15
18893,Golden Palm Fiber,2,105,100,70
21230,Fireproof Cord,2,105,3000,105
7773,Animal Fur,2,106,5,1
7774,Supple Fur,2,106,10,2
7775,Ape Fur,2,106,25,3
7809,Giant Fur,2,106,50,4
7810,Sphinx Hair,2,106,85,4
7779,Beast's Mane,2,106,130,5
7776,Ogre Fur,2,106,130,6
7777,Necrophagous Bristle,2,106,185,7
7778,Beast Fur,2,106,250,8
7780,Pure White Mane,2,106,325,9
7782,Silver Bristle,2,106,410,9
7781,Transmuted Fur,2,106,260,10
9437,Magick Lion's Large Mane,2,106,410,12
13224,Medusa's Serpent Hair,2,106,1014,35
16009,Protected Beast's Green Fur,2,106,800,60
17927,Goremanticore's White Beard,2,106,1500,100
7917,Animal Pelt,2,107,5,1
7919,Lizardscale Pelt,2,107,10,2
7732,Ape Pelt,2,107,25,3
7733,Large Simian Thick Pelt,2,107,50,4
7918,Strong Animal Leather,2,107,130,5
7924,Rugged Leather,2,107,85,5
7920,Strong Lizardscale Pelt,2,107,130,6
7921,Smooth Leather,2,107,185,7
7925,Giant Tough Pelt,2,107,250,8
7928,Dragon Hide,2,107,250,8
7739,White Lion Pelt,2,107,325,9
7923,Beast Leather,2,107,325,9
7927,Smooth Dragonleather,2,107,325,9
7929,Thick Dragonscale,2,107,325,9
7932,Bluish Gray Dragonscale,2,107,325,9
7742,Moist Black Leather,2,107,410,10
7922,Spectral Dragonscale,2,107,610,12
7930,Amber Dragonscale,2,107,610,12
7931,Azure Dragonscale,2,107,610,12
9438,Giant Single Pelt,2,107,700,12
15961,Stiff Crocodile Skin,2,107,235,45
17870,Rock Leather,2,107,350,80
17857,Demonic Beast Snakeskin,2,107,1500,85
17866,Manticore Raw Pelt,2,107,1500,85
17879,Dragon's Inverse Scale,2,107,2000,85
18726,Scarred Lizardscale Pelt,2,107,350,95
21223,Strong Heat-Resistant Scale,2,107,350,105
21226,Large Demon's Striped Pelt,2,107,1500,105
21261,Demon Dog Pelt,2,107,350,110
21262,Blazing Lizard Pelt,2,107,350,110
21279,Reddish Dragon Scale,2,107,2000,120
24739,Jet-black Dragon Scale,2,107,900,130
24814,Chaotic Dark Dragonscale,2,107,900,130
7768,Animal Bone,2,108,5,1
7767,Dry Bone,2,108,10,2
7771,Giant Bone,2,108,50,3
7803,Fine Bleached Bone,2,108,25,3
7804,Magick-Tinged Bone,2,108,85,5
7769,Black Skull,2,108,130,6
7807,Mutated Bone Lump,2,108,185,7
7770,Thick Bone,2,108,325,9
7772,Cursed Skull,2,108,410,11
7806,Huge Dragon Bone Lump,2,108,410,12
15927,Infected Giant Ulna,2,108,1200,50
16008,Fine Femur,2,108,800,60
17864,Magickal Giant Bones,2,108,1500,100
19653,Groaning Skull,2,108,2000,100
21219,War Demon's Ancestor Nasal Cartilage,2,108,350,100
21266,Ancient Warrior's Bone,2,108,1500,110
7798,Small Fang,2,109,15,2
7760,Orc Tusk,2,109,20,3
7788,Crooked Fang,2,109,100,4
7762,Cyclops Tusk,2,109,170,5
7787,Large Fang,2,109,260,5
7766,Ogre Claw,2,109,370,6
7747,Sphinx Claw,2,109,370,7
7759,Sharp Claw,2,109,370,7
7761,Orc's War Tusk,2,109,650,7
7765,Water Dragon Fang,2,109,500,8
7801,Beast Claw,2,109,500,8
7799,Behemoth Fang,2,109,650,9
7800,Shadowy Claw,2,109,820,10
7763,Dragon Fang,2,109,1220,12
7802,Spectral Dragon Claw,2,109,1220,12
9453,Spectral Dragon Fang,2,109,1220,12
15963,Bloodied Giant Tusk,2,109,320,45
15971,Murky Dragon Fang,2,109,800,45
15928,Rainbow-Colored Claw,2,109,1200,50
16014,Eagle's Damaged Talon,2,109,800,60
15996,Black Claw of Misfortune,2,109,1200,70
17858,Giant's Molar,2,109,1500,85
17871,Rock-Cutter,2,109,1500,85
17873,Undead Nail Shaving,2,109,350,85
17869,Undead Wolf's Fang,2,109,350,95
21225,War Demon Ancestor's Large Tusk,2,109,1500,105
24816,Darkness-filled Black Claw,2,109,900,130
7750,Small Horn,2,110,10,1
7752,Goblin Horn,2,110,20,3
7749,Colossus Horn,2,110,170,6
7758,Griffin Beak,2,110,260,6
7784,Giant's Horn,2,110,370,7
7785,Goat Horn,2,110,500,8
7751,Corpse-Eater's Horn,2,110,650,9
7756,Angules Horn,2,110,650,9
7748,Sinister Horn,2,110,820,10
7753,Cracked Black Horn,2,110,205,10
7754,Dragon Horn,2,110,1220,12
10986,Zuhl's Large Horn,2,110,1010,12
11777,Discolored Hard Horn,2,110,952,25
15969,Sharp Back Spine,2,110,800,45
15973,Demon Envoy's Horn,2,110,800,45
16013,Deformed Horn of Misfortune,2,110,800,60
17865,Ogre's Horn,2,110,1500,100
21264,Grotesque Burning Horn,2,110,1500,110
21271,Evil Dragon's Chin Spike,2,110,2500,115
21619,Smoldering Crown Horn,2,110,2000,120
24818,Forbidden Horn of Corruption,2,110,900,130
7811,Bird Feather,2,112,5,1
7812,Clear Insect Wing,2,112,10,1
7813,Harpy Pinion,2,112,10,2
7815,Sphinx Azure Pinion,2,112,85,4
7783,Harpy Flight Feather,2,112,130,6
7814,Griffin Feather,2,112,130,6
7820,Lindwurm Fin,2,112,250,8
7816,Cockatrice Raven Pinion,2,112,325,9
7818,Glossy Black Feather,2,112,410,10
7822,Transmuted Gold Feather,2,112,405,11
7823,Bright Gold Feather,2,112,505,11
7819,Demonic Fowl Feather,2,112,610,12
9439,Griffin Glossy Plume,2,112,700,12
13223,Discolored Spore-covered Feather,2,112,952,20
15959,Pixie Mock Wing,2,112,235,45
15962,Bronze Tail Feather,2,112,235,45
15967,Dazzling Silver Plume,2,112,800,45
18735,Steel Featherwork,2,112,2000,85
21224,War Dancing Large Feather,2,112,1500,105
24815,Transformed black wing membrane,2,112,900,130
7893,Fluorite,2,113,10,2
7729,Orb of Darkness,2,113,75,3
7897,Amethyst,2,113,37,3
7895,Peridot,2,113,75,4
7907,Spinel,2,113,75,4
7912,Mist Gem,2,113,127,4
7916,Apophyllite,2,113,75,4
7896,Garnet,2,113,127,5
7901,Crystal,2,113,127,5
7899,Sapphire,2,113,195,6
7903,Onyx,2,113,195,6
7894,Agate,2,113,277,7
7900,Ruby,2,113,375,8
7902,Lapis Lazuli,2,113,375,8
7904,Topaz,2,113,375,8
7898,Emerald,2,113,487,9
7910,Pigeon Blood,2,113,487,9
7730,Eye Gem,2,113,515,10
7911,Demonic Gem,2,113,515,10
7908,Smoky Quartz,2,113,757,11
7914,Star Sphene,2,113,527,11
7731,Rainbow Eye Gem,2,113,915,12
7909,Spirit Crystal,2,113,915,12
7913,Flame Crystal,2,113,915,12
15955,Kingalite,2,113,200,50
15995,Griffin Spinel,2,113,1200,70
17872,Giant Apophyllite,2,113,350,85
17881,Bone Pearl,2,113,15000,85
18650,Red Garnet,2,113,500,85
21778,Moth Hard Gem,2,113,500,85
21779,Speckled Mood Garnet,2,113,500,85
21787,Crystal of Inspiration,2,113,500,110
24726,Craft-grade Small Sparkling Gemstones,2,113,350,130
24740,Dark Clouds Smoky Quartz,2,113,900,130
25529,Zircon,2,113,350,150
7974,Baby Herb,2,114,5,1
7976,Lestania Herb,2,114,10,2
7989,Small Nut,2,114,10,2
7975,Wild Herb,2,114,25,3
7980,Purple Anise,2,114,25,3
7991,Green Seed,2,114,25,3
7982,Angelica,2,114,50,4
7985,Goblin's Leaf,2,114,50,4
7987,Ent Leaf,2,114,50,4
7977,Yellow Thyme,2,114,85,5
7981,Moonglow,2,114,85,5
7978,Red Sage,2,114,130,6
7979,Blue Flower,2,114,185,7
7983,King Bay Leaf,2,114,250,8
7990,Bluecurrant,2,114,250,8
7992,Ent Seed,2,114,250,8
9064,Northern Oregano,2,114,250,8
7984,Deenan Hyssop,2,114,325,9
7986,Goblin's Flower,2,114,325,9
9065,Zandoratalis,2,114,330,10
25024,Passion Papyrus,2,114,10,15
15944,Farana Mint,2,114,100,45
15947,Old Geranium,2,114,100,45
15952,Wijnruit,2,114,200,50
17884,Ashen Grass,2,114,250,80
17885,Blaze Grass,2,114,1000,85
18663,Mandragora Leaf,2,114,500,85
18662,Cursed Withered Grass,2,114,900,95
21213,Waterweed,2,114,350,100
21214,Rose Megadosys,2,114,350,100
21256,Belladonna,2,114,350,110
25522,Dragon Cotton Flower in the Temple Medicinal Garden,2,114,350,145
25528,Cobalt Heliotrope,2,114,350,145
7993,Gala Mushroom,2,117,5,1
7994,Quality Gala Mushroom,2,117,10,2
7996,Stagnant Shroom,2,117,25,3
8000,Troll's Poisonous Moss,2,117,50,4
7998,Moonlight Mushroom,2,117,85,5
9063,Coconut-Scented Milkcap,2,117,130,6
7995,High Quality Gala Mushroom,2,117,185,7
7997,Fiend's Perch,2,117,250,8
7999,Pearl Mushroom,2,117,325,9
8001,Troll's Blue Poisonous Moss,2,117,325,9
15951,Crab Brittlegill,2,117,100,45
16012,Thousand-Year Moss,2,117,800,60
18646,Toadstool Sitter,2,117,500,80
18647,Mandragora Mushroom,2,117,500,85
17917,Feryana Sweet Mushroom,2,117,900,95
21218,Flame Mushroom,2,117,350,100
21260,Scorched Mushroom,2,117,350,110
7961,Thin Wood,2,118,7,1
7962,Brown Wood,2,118,15,2
7963,Hard Wood,2,118,37,3
7965,Red Lumber,2,118,75,4
7971,Ent Branch,2,118,100,4
7967,Cedar Wood,2,118,127,5
7968,Pine Lumber,2,118,195,6
7972,High Quality Wood,2,118,210,6
7964,White Wood,2,118,277,7
7966,Rosewood,2,118,375,8
7969,Sequoia Wood,2,118,375,8
7970,Black Wood,2,118,487,9
9059,Gold-Striped Hardwood,2,118,515,10
9159,Alchemic Wood,2,118,557,11
9442,Writhing Live Bark,2,118,710,12
15948,Premium Fragrant Wood,2,118,100,45
15950,Rotten Tree,2,118,100,45
16003,Morrow Lauan Wood,2,118,250,65
18507,Rathnite Local Hardwood,2,118,250,80
18508,Natural Charcoal,2,118,1000,85
18664,Mandragora Twig,2,118,500,85
17916,Misleading Twig,2,118,900,95
21215,Giant Caterpillar,2,118,350,100
21252,Golden Mistletoe,2,118,100,100
21257,Petrified Wood,2,118,350,110
21265,Tree Man's Charred Branch,2,118,1500,110
24724,Fine mahogany wood,2,118,350,130
7834,Slime Liquid,2,119,5,1
7836,Insect Venom,2,119,5,1
7824,Clear Water,2,119,10,2
7825,Clear Spring Water,2,119,25,3
7827,Red Liquor,2,119,50,4
7839,Unrefined Demon Wine,2,119,25,4
7840,Strong Viscous Liquid,2,119,50,4
7826,Stagnant Water,2,119,85,5
7828,White Liquor,2,119,85,5
7841,Black Tar,2,119,85,5
7838,Undead Extract,2,119,130,6
7829,Healing Drop,2,119,185,7
7837,Strong Acid Slime Piece,2,119,185,7
7830,Energy Liquid,2,119,250,8
7831,Blessed Drop,2,119,325,9
7832,Magickal Potion,2,119,325,9
7842,Cockatrice Liquor,2,119,325,9
7833,Alkahest,2,119,280,11
9443,Demon's Prized Liquor,2,119,320,12
15945,Sparkling Water,2,119,100,45
15954,Valley Spring Water,2,119,100,45
15949,Elana Water,2,119,200,50
15935,Platinum Blood,2,119,1200,55
15990,Sancto Sap,2,119,1200,65
17880,Highly Viscous Slime Liquid,2,119,350,80
17886,Plankton Liquid,2,119,500,80
17856,Stone-Curser's Tears,2,119,2500,85
17915,Underworld Drop,2,119,900,95
21255,Urteca Hot Spring Water,2,119,350,110
25525,Demon Leather Tanning Solution,2,119,350,145
8002,Blank Scroll,2,120,15,2
8003,Scroll of Power,2,120,75,4
8004,Scroll of Protection,2,120,75,4
8005,Scroll of Sorcery,2,120,75,4
8006,Scroll of Magickal Protection,2,120,75,4
8011,Scroll of Fire,2,120,127,5
8012,Scroll of Ice,2,120,127,5
8013,Scroll of Thunder,2,120,127,5
8014,Scroll of Holy,2,120,195,6
8015,Scroll of Darkness,2,120,195,6
7764,Ancient Grimoire,2,120,277,7
8007,Scroll of Great Strength,2,120,277,7
8008,Scroll of Defense,2,120,277,7
8009,Scroll of Great Sorcery,2,120,277,7
8010,Scroll of Magickal Defense,2,120,277,7
7808,Witch's Grimoire,2,120,757,11
9447,Scroll of Bewitching,2,120,820,12
15958,Scroll of Dream and Reality,2,120,200,45
16007,Scroll of True Shadow,2,120,980,65
17878,Cursed Letter,2,120,1500,85
17893,Scroll of the Starry Sky,2,120,3000,100
25521,Madness Amulet,2,120,350,140
1074,Beast-Steak,2,122,5,1
7735,Undead Carrion,2,122,5,1
7736,Saurian Tail,2,122,10,2
7728,Rotten Lump,2,122,25,3
7551,Large Beast-Steak,2,122,85,5
7737,Saurian Gland,2,122,130,6
7738,Superior Saurian Tail,2,122,130,6
7726,Marbled Beast-Steak,2,122,185,7
7727,Ambrosial Beast-Steak,2,122,250,8
7740,Giant Eyeball,2,122,250,8
7734,Blob Flesh,2,122,325,9
7741,Sinister Carrion,2,122,325,9
7745,Cockatrice Poison Gland,2,122,325,9
7744,Mystery Organs,2,122,410,10
7746,Nightmare's Vocal Cords,2,122,610,12
11774,Corroded Giant Eyeball,2,122,952,20
11805,Manticore's Scorpion Tail,2,122,1014,35
15960,Demon Wolf's Sinewy Meat,2,122,235,45
15965,Composite Organ,2,122,800,45
15974,Envoy's Loathsome Tail,2,122,800,45
16010,Still-Beating Heart,2,122,800,60
16011,Seabird Syrinx,2,122,800,60
17928,Harpy Breast Meat,2,122,350,80
18655,Demon Beast's Liver,2,122,350,80
18661,Beast-Luring Meat,2,122,500,80
17930,Winged Beast's Heart,2,122,1500,85
21221,Strong Acid Sac,2,122,350,100
21267,Charged Great Vessel,2,122,1500,110
16800,2017 New Year Jumbo Draw Ticket,2,123,500,1
19385,Extreme Winged Crest Fragment,2,123,100,1
19386,Extreme Palm Fragment,2,123,100,1
19387,Extreme Wind-Wrought Fragment,2,123,100,1
19388,Extreme Weightless Fragment,2,123,100,1
21389,2018 New Year Jumbo Draw Ticket,2,123,500,1
8016,White Seashell,2,123,10,2
1316,Glowworm,2,123,50,4
8026,Mysterious Gold Lump,2,123,50,4
8017,Beautiful Conch Shell,2,123,410,5
8028,Large Metal Plate,2,123,85,5
8024,Rusted Plate,2,123,130,6
8034,Goblin Gunpowder,2,123,130,6
8019,Broken Dagger,2,123,185,7
10133,Riftstone Shard,2,123,320,8
10983,Merit Medal (Direwolf),2,123,1000,8
10984,Merit Medal (Lion),2,123,5000,8
10987,Dragon Bone,2,123,500,8
10988,Large Dragon Bone,2,123,1000,8
10989,Shining Dragon Bone,2,123,1000,8
10999,Hidell Medal,2,123,1000,8
11000,Breya Medal,2,123,1000,8
11001,Mysree Medal,2,123,1000,8
11002,Volden Medal,2,123,1000,8
11003,Dowe Medal,2,123,1000,8
11004,Mysree Grove Medal,2,123,1000,8
11005,Betland Medal,2,123,1000,8
8020,Orc Decoration,2,123,325,9
9458,Lestania Glass,2,123,180,9
9459,Lestania Amber,2,123,180,9
9460,Lestania Quartz,2,123,180,9
10985,White Wings Radiant Crystal,2,123,1000,9
10990,Lestalite,2,123,1000,9
11006,Deenan Medal,2,123,1000,9
11007,Northern Betland Medal,2,123,1000,9
11011,Scale Dust,2,123,1000,9
11012,Large-Grained Sand,2,123,1000,9
11013,Ancient Scale Dust,2,123,1000,9
11210,Wind-Wrought Ring Plate,2,123,1000,9
11211,Winged Crest Ring Plate,2,123,1000,9
11212,Palm Ring Plate,2,123,1000,9
8018,Large Scallop Shell,2,123,85,10
8025,Chipped Gold Lump,2,123,190,10
8029,Dirty Sheet Metal,2,123,505,10
8022,Demon Arming Points,2,123,410,11
8023,Mergan Ring,2,123,250,11
8027,Training Stakes,2,123,220,11
8030,Exquisite Metal Plate,2,123,505,11
8031,Alchemized Armor Plate,2,123,505,11
8033,Aliment Extractant,2,123,210,11
9461,Disordering Drop,2,123,180,11
9462,Water of Chaos,2,123,180,11
9463,Abyssal Ice of Chaos,2,123,180,11
10991,High Lestalite,2,123,1000,11
11008,Eastern Zandora Medal,2,123,1000,11
11009,Zandora Medal,2,123,1000,11
11010,Mergoda Medal,2,123,1000,11
8021,Ancient Knight's Emblem,2,123,610,12
8032,Golden Dragon King Wedge,2,123,610,12
9448,Fiend Wing Membrane,2,123,1000,12
9449,Demon Commander's Belt,2,123,1000,12
9450,Riese Extract,2,123,750,12
9451,Elfin Extract,2,123,750,12
9452,Alchemical Extract,2,123,750,12
9454,Weightless Ring Plate,2,123,1000,12
9455,Enlightened Ring Plate,2,123,777,12
9456,Rare Netherworld Crystal,2,123,1000,12
9457,Rare Ancient Crystal,2,123,1000,12
9788,Rare Greenleaf Crystal,2,123,1000,12
9789,Rare Golden Crystal,2,123,1000,12
9796,Pearl Shell,2,123,610,12
10992,Lumina Lestalite,2,123,1000,12
10993,Blessed Lestalite,2,123,1000,12
10996,Golden Wedge,2,123,1000,12
10997,Gold Ritual Instrument,2,123,1000,12
10998,Gleaming Golden Jewel,2,123,1000,12
11784,Refined Paraffin,2,123,100,12
13491,Authentication Orb (Rathalos),2,123,500,12
13492,Authentication Orb (Rathian),2,123,500,12
11779,Reconnaissance Medal,2,123,1000,25
11780,Rare Meteorite Crystal,2,123,952,30
11781,Dragon Beard,2,123,952,30
11782,Long Dragon Beard,2,123,952,30
11783,Blessed Long Dragon Beard,2,123,988,30
11819,White Knights Medal,2,123,1000,30
12784,Arisen Corps Medal,2,123,1000,30
11808,Prism Crystal,2,123,1014,40
11809,Mirage Crystal,2,123,1014,40
11810,Rare Vortex Crystal,2,123,1014,45
11811,Droplets of Ruin,2,123,1014,45
11812,Water of Ruin,2,123,1014,45
