Tier,Level,ItemId,Name,Rank,Subcategory,ItemType,JobGroup,EquipSlot
A,70,2437,"Faith Bangles",35,"Arm Armor","Armor","GroupMagickRanged","ArmorArm"
A,70,3460,"Faith Bangles",35,"Arm Armor","Armor","GroupMagickRanged","ArmorArm"
A,70,4483,"Faith Bangles",35,"Arm Armor","Armor","GroupMagickRanged","ArmorArm"
A,70,5506,"Faith Bangles",35,"Arm Armor","Armor","GroupMagickRanged","ArmorArm"
A,70,2224,"Faith Gauntlets",35,"Arm Armor","Armor","GroupHeavy","ArmorArm"
A,70,3247,"Faith Gauntlets",35,"Arm Armor","Armor","GroupHeavy","ArmorArm"
A,70,4270,"Faith Gauntlets",35,"Arm Armor","Armor","GroupHeavy","ArmorArm"
A,70,5293,"Faith Gauntlets",35,"Arm Armor","Armor","GroupHeavy","ArmorArm"
A,70,2330,"Faith Gloves",35,"Arm Armor","Armor","GroupLight","ArmorArm"
A,70,3353,"Faith Gloves",35,"Arm Armor","Armor","GroupLight","ArmorArm"
A,70,4376,"Faith Gloves",35,"Arm Armor","Armor","GroupLight","ArmorArm"
A,70,5399,"Faith Gloves",35,"Arm Armor","Armor","GroupLight","ArmorArm"
A,70,2542,"Genius Arms",35,"Arm Armor","Armor","GroupMagickMelee","ArmorArm"
A,70,3565,"Genius Arms",35,"Arm Armor","Armor","GroupMagickMelee","ArmorArm"
A,70,4588,"Genius Arms",35,"Arm Armor","Armor","GroupMagickMelee","ArmorArm"
A,70,5611,"Genius Arms",35,"Arm Armor","Armor","GroupMagickMelee","ArmorArm"
A,70,2172,"Faith Armor",35,"Body Armor","Armor","GroupHeavy","ArmorBody"
A,70,3195,"Faith Armor",35,"Body Armor","Armor","GroupHeavy","ArmorBody"
A,70,4218,"Faith Armor",35,"Body Armor","Armor","GroupHeavy","ArmorBody"
A,70,5241,"Faith Armor",35,"Body Armor","Armor","GroupHeavy","ArmorBody"
A,70,2276,"Faith Jacket",35,"Body Armor","Armor","GroupLight","ArmorBody"
A,70,3299,"Faith Jacket",35,"Body Armor","Armor","GroupLight","ArmorBody"
A,70,4322,"Faith Jacket",35,"Body Armor","Armor","GroupLight","ArmorBody"
A,70,5345,"Faith Jacket",35,"Body Armor","Armor","GroupLight","ArmorBody"
A,70,2383,"Faith Robe",35,"Body Armor","Armor","GroupMagickRanged","ArmorBody"
A,70,3406,"Faith Robe",35,"Body Armor","Armor","GroupMagickRanged","ArmorBody"
A,70,4429,"Faith Robe",35,"Body Armor","Armor","GroupMagickRanged","ArmorBody"
A,70,5452,"Faith Robe",35,"Body Armor","Armor","GroupMagickRanged","ArmorBody"
A,70,2490,"Genius Coat",35,"Body Armor","Armor","GroupMagickMelee","ArmorBody"
A,70,3513,"Genius Coat",35,"Body Armor","Armor","GroupMagickMelee","ArmorBody"
A,70,4536,"Genius Coat",35,"Body Armor","Armor","GroupMagickMelee","ArmorBody"
A,70,5559,"Genius Coat",35,"Body Armor","Armor","GroupMagickMelee","ArmorBody"
A,70,2356,"Faith Cap",35,"Helm","Armor","GroupMagickRanged","ArmorHead"
A,70,3379,"Faith Cap",35,"Helm","Armor","GroupMagickRanged","ArmorHead"
A,70,4402,"Faith Cap",35,"Helm","Armor","GroupMagickRanged","ArmorHead"
A,70,5425,"Faith Cap",35,"Helm","Armor","GroupMagickRanged","ArmorHead"
A,70,2146,"Faith Head",35,"Helm","Armor","GroupHeavy","ArmorHead"
A,70,3169,"Faith Head",35,"Helm","Armor","GroupHeavy","ArmorHead"
A,70,4192,"Faith Head",35,"Helm","Armor","GroupHeavy","ArmorHead"
A,70,5215,"Faith Head",35,"Helm","Armor","GroupHeavy","ArmorHead"
A,70,2250,"Faith Hood",35,"Helm","Armor","GroupLight","ArmorHead"
A,70,3273,"Faith Hood",35,"Helm","Armor","GroupLight","ArmorHead"
A,70,4296,"Faith Hood",35,"Helm","Armor","GroupLight","ArmorHead"
A,70,5319,"Faith Hood",35,"Helm","Armor","GroupLight","ArmorHead"
A,70,2464,"Genius Helm",35,"Helm","Armor","GroupMagickMelee","ArmorHead"
A,70,3487,"Genius Helm",35,"Helm","Armor","GroupMagickMelee","ArmorHead"
A,70,4510,"Genius Helm",35,"Helm","Armor","GroupMagickMelee","ArmorHead"
A,70,5533,"Genius Helm",35,"Helm","Armor","GroupMagickMelee","ArmorHead"
A,70,13099,"Nabla Armor",35,"Inner Body Clothing","Armor","All","ClothingBody"
A,70,13100,"Nabla Armor",35,"Inner Body Clothing","Armor","All","ClothingBody"
A,70,13101,"Nabla Armor",35,"Inner Body Clothing","Armor","All","ClothingBody"
A,70,13102,"Nabla Armor",35,"Inner Body Clothing","Armor","All","ClothingBody"
A,70,13139,"Fever Metal",35,"Inner Leg Clothing","Armor","All","ClothingLeg"
A,70,13140,"Fever Metal",35,"Inner Leg Clothing","Armor","All","ClothingLeg"
A,70,13141,"Fever Metal",35,"Inner Leg Clothing","Armor","All","ClothingLeg"
A,70,13142,"Fever Metal",35,"Inner Leg Clothing","Armor","All","ClothingLeg"
A,70,2305,"Faith Cuisses",35,"Leg Armor","Armor","GroupLight","ArmorLeg"
A,70,3328,"Faith Cuisses",35,"Leg Armor","Armor","GroupLight","ArmorLeg"
A,70,4351,"Faith Cuisses",35,"Leg Armor","Armor","GroupLight","ArmorLeg"
A,70,5374,"Faith Cuisses",35,"Leg Armor","Armor","GroupLight","ArmorLeg"
A,70,2410,"Faith Greaves",35,"Leg Armor","Armor","GroupMagickRanged","ArmorLeg"
A,70,3433,"Faith Greaves",35,"Leg Armor","Armor","GroupMagickRanged","ArmorLeg"
A,70,4456,"Faith Greaves",35,"Leg Armor","Armor","GroupMagickRanged","ArmorLeg"
A,70,5479,"Faith Greaves",35,"Leg Armor","Armor","GroupMagickRanged","ArmorLeg"
A,70,2198,"Faith Sabatons",35,"Leg Armor","Armor","GroupHeavy","ArmorLeg"
A,70,3221,"Faith Sabatons",35,"Leg Armor","Armor","GroupHeavy","ArmorLeg"
A,70,4244,"Faith Sabatons",35,"Leg Armor","Armor","GroupHeavy","ArmorLeg"
A,70,5267,"Faith Sabatons",35,"Leg Armor","Armor","GroupHeavy","ArmorLeg"
A,70,2517,"Genius Legs",35,"Leg Armor","Armor","GroupMagickMelee","ArmorLeg"
A,70,3540,"Genius Legs",35,"Leg Armor","Armor","GroupMagickMelee","ArmorLeg"
A,70,4563,"Genius Legs",35,"Leg Armor","Armor","GroupMagickMelee","ArmorLeg"
A,70,5586,"Genius Legs",35,"Leg Armor","Armor","GroupMagickMelee","ArmorLeg"
A,70,13179,"Sancto Cloak",35,"Overwear","Armor","All","Overwear"
A,70,13180,"Sancto Cloak",35,"Overwear","Armor","All","Overwear"
A,70,13181,"Sancto Cloak",35,"Overwear","Armor","All","Overwear"
A,70,13182,"Sancto Cloak",35,"Overwear","Armor","All","Overwear"
A,70,12492,"Loathsome Sign",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12493,"Loathsome Sign",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12494,"Loathsome Sign",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12495,"Loathsome Sign",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12487,"New Moon",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12488,"New Moon",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12489,"New Moon",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12490,"New Moon",35,"Archistaff","Weapon","Sorcerer","WepMain"
A,70,12207,"Heavy Bow Archery",35,"Bow","Weapon","Hunter","WepMain"
A,70,12208,"Heavy Bow Archery",35,"Bow","Weapon","Hunter","WepMain"
A,70,12209,"Heavy Bow Archery",35,"Bow","Weapon","Hunter","WepMain"
A,70,12210,"Heavy Bow Archery",35,"Bow","Weapon","Hunter","WepMain"
A,70,12212,"Spirit Blink",35,"Bow","Weapon","Hunter","WepMain"
A,70,12213,"Spirit Blink",35,"Bow","Weapon","Hunter","WepMain"
A,70,12214,"Spirit Blink",35,"Bow","Weapon","Hunter","WepMain"
A,70,12215,"Spirit Blink",35,"Bow","Weapon","Hunter","WepMain"
A,70,12122,"Libertine's Blade",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12123,"Libertine's Blade",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12124,"Libertine's Blade",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12125,"Libertine's Blade",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12127,"Unify Feeling",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12128,"Unify Feeling",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12129,"Unify Feeling",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12130,"Unify Feeling",35,"Dagger","Weapon","Seeker","WepMain"
A,70,12267,"Incrementum",35,"Gauntlet","Weapon","Alchemist","WepMain"
A,70,12268,"Incrementum",35,"Gauntlet","Weapon","Alchemist","WepMain"
A,70,12269,"Incrementum",35,"Gauntlet","Weapon","Alchemist","WepMain"
