Level,SubCategory,Jobs,TopRank,DistinctRanks,TotalItems,SampleItem
1,303,12,7,1,1,"Benefit Helm"
1,303,14,7,1,1,"Benefit Coif"
1,303,15,7,1,1,"Benefit Hat"
1,303,17,7,1,1,"Benefit Head"
1,304,12,7,1,1,"Benefit Mail"
1,304,14,7,1,1,"Benefit Jacket"
1,304,15,7,1,1,"Benefit Padding"
1,304,17,7,1,1,"Benefit Armor"
1,306,12,7,1,1,"Benefit Gloves"
1,306,14,7,1,1,"Benefit Hands"
1,306,15,7,1,1,"Benefit Bangles"
1,306,17,7,1,1,"Benefit Arms"
1,307,12,7,1,1,"Benefit Legs"
1,307,14,7,1,1,"Benefit Greaves"
1,307,15,7,1,1,"Benefit Shoes"
1,307,17,7,1,1,"Benefit Boots"
1,442,1,50,1,2,"Dragon Skill Ring (Fighter)"
1,442,2,50,1,2,"Dragon Skill Ring (Seeker)"
1,442,3,50,1,2,"Dragon Skill Ring (Hunter)"
1,442,4,50,1,2,"Dragon Skill Ring (Priest)"
1,442,5,50,1,2,"Dragon Skill Ring (Shield Sage)"
1,442,6,50,1,2,"Dragon Skill Ring (Sorcerer)"
1,442,7,50,1,2,"Dragon Skill Ring (Warrior)"
1,442,8,50,1,2,"Dragon Skill Ring (Element Archer)"
1,442,9,50,1,2,"Dragon Skill Ring (Alchemist)"
1,442,10,50,1,2,"Dragon Skill Ring (Spirit Lancer)"
1,442,11,50,1,2,"Dragon Skill Ring (High Scepter)"
1,490,1,75,1,1,"Emblem Stone (Fighter)"
1,490,2,75,1,1,"Emblem Stone (Seeker)"
1,490,3,75,1,1,"Emblem Stone (Hunter)"
1,490,4,75,1,1,"Emblem Stone (Priest)"
1,490,5,75,1,1,"Emblem Stone (Shield Sage)"
1,490,6,75,1,1,"Emblem Stone (Sorcerer)"
1,490,7,75,1,1,"Emblem Stone (Warrior)"
1,490,8,75,1,1,"Emblem Stone (Element Archer)"
1,490,9,75,1,1,"Emblem Stone (Alchemist)"
1,490,10,75,1,1,"Emblem Stone (Spirit Lancer)"
1,490,11,75,1,1,"Emblem Stone (High Scepter)"
